agency,department,name,title,room_number,street_address,city,state,zip_code,telephone,fax,email_address,website,online_request_form,notes
Dallas Regional Office,Merit Systems Protection Board,Ann Fluellen,FOIA Liaison,Room 620,1100 Commerce Street,Dallas,TX,75242-9979,(214) 767-0810 ext. 5100,(214) 767-0102,FOIADA@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Dallas Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Dallas Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(214) 767-0810 ext. 5100,,,,,
Western Regional Office,Merit Systems Protection Board,Nancy Bui,FOIA Liaison,Suite 2130,201 Mission Street,San Francisco,CA,94105-1831,(415) 904-6772 ext. 2101,(415) 904-0580,FOIASF@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Western Regional Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Western Regional Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
New York Field Office,Merit Systems Protection Board,Gwendolyn Gatling,FOIA Liaison,Room 3137-A,26 Federal Plaza,New York,NY,10278-0022,(212) 264-6183 ext. 7504,(212) 264-1417,FOIANY@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
New York Field Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
New York Field Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
Denver Field Office,Merit Systems Protection Board,Nicole Remmich,FOIA Liaison,Suite 318,165 South Union Boulevard,Lakewood,CO,80228-2211,(303) 969-5101 ext. 6104,(303) 969-5109,FOIADE@mspb.gov,"http://www.mspb.gov/contact/contact.htm#FOIA",https://foiaonline.regulations.gov/foia/action/public/home,
Denver Field Office,Merit Systems Protection Board,William Spencer,FOIA Requester Service Center,,,,,,(202) 254-4475,,,,,
Denver Field Office,Merit Systems Protection Board,William Spencer,Acting FOIA Public Liaison,,,,,,(202) 254-4475,,,,,
Millennium Challenge Corporation,Millennium Challenge Corporation,Tamiko Walker,Chief FOIA Officer,,"875 15th Street, NW",Washington,DC,20005,(202) 521-7235,,foia@mcc.gov,http://www.mcc.gov/pages/foia,,
Millennium Challenge Corporation,Millennium Challenge Corporation,,FOIA Requester Service Center,,,,,,(202) 521-7235,,,,,
Millennium Challenge Corporation,Millennium Challenge Corporation,,Acting FOIA Public Liaison,,,,,,(202) 521-7235,,,,,
Headquarters,National Aeronautics and Space Administration,Josephine Sibley,HQFOIA Officer,Room 5Q 16,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-2462,(202) 358-4332,foia@hq.nasa.gov,http://www.hq.nasa.gov/office/pao/FOIA/index.htm,http://www.hq.nasa.gov/office/pao/FOIA/request.html,
Headquarters,National Aeronautics and Space Administration,,FOIA Requester Service Center,Mail Stop 5-L19,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-2562,,,,,
Headquarters,National Aeronautics and Space Administration,Josephine Sibley,FOIA Public Liaison,,,,,,(202) 358-2462,,foia@hq.nasa.gov,,,
Ames Research Center,National Aeronautics and Space Administration,Martha Terry,ARC FOIA Officer,Room 5Q14,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-2339,(202) 358-4332,foia@arc.nasa.gov,http://www.hq.nasa.gov/office/pao/FOIA/index.htm,,
Ames Research Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,Mail Stop 5-L19,,Moffett Field,CA,94035-1000,(202) 358-2339,,,,,
Ames Research Center,National Aeronautics and Space Administration,Martha Terry,FOIA Public Liaison,Mail Stop 5-L19,,,,,(202) 358-2339,,foia@arc.nasa.gov,,,
Armstrong Flight Research Center,National Aeronautics and Space Administration,Kim Lewis-Bias,AFRC FOIA Officer,Building 4839,4800 Lily Drive,Edwards,CA,93523,(661) 276-2704,(661) 276-3566,dfrc-foia@nasa.gov,http://www.hq.nasa.gov/office/pao/FOIA/index.htm,,
Armstrong Flight Research Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,P.O. Box 273,,Edwards,CA,93523,(661) 276-2704,,,,,
Armstrong Flight Research Center,National Aeronautics and Space Administration,Kim Lewis-Bias,FOIA Public Liaison,,,,,,(661) 276-2704,,afrc-foia@nasa.gov,,,
Glenn Research Center,National Aeronautics and Space Administration,Jaclyn Facinelli,GRC FOIA Officer,,Mail Code 21-14,Cleveland,OH,44135,(216) 443-2315,(216) 433-5489,grc-foia@nasa.gov,http://www.grc.nasa.gov/WWW/FOIA/FOIA.htm,,
Glenn Research Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,,2100 Brookpark Road,Cleveland,OH,44135,(216) 443-2315,,,,,
Glenn Research Center,National Aeronautics and Space Administration,Jaclyn Facinelli,FOIA Public Liaison,,,,,,(216) 443-2315,,grc-foia@nasa.gov,,,
Goddard Space Flight Center,National Aeronautics and Space Administration,Joan Belt,GSFC FOIA Officer,,Code 130,Greenbelt,MD,20771,(301) 286-4271,(301) 286-1712,foia@gsfc.nasa.gov,http://www.nasa.gov/centers/goddard/business/foia/index.html,"http://www.nasa.gov/centers/goddard/business/foia/e-foia.html#efoia",
Goddard Space Flight Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,,Code 130,Greenbelt,MD,20771,(301) 286-4271,,,,,
Goddard Space Flight Center,National Aeronautics and Space Administration,Joan Belt,FOIA Public Liaison,,,,,,(301) 286-4271,,mailto:foia@gsfc.nasa.gov,,,
Jet Propulsion Laboratory,National Aeronautics and Space Administration,Dennis Mahon,JPL FOIA Officer,M/S: 180-200K,4800 Oak Grove,Pasadena,CA,91109-8001,(818) 393-6779,(818) 393-3160,jpl-foia@nasa.gov,http://nmo.nasa.gov/cfm_nasa/foia.cfm,https://nmo.nasa.gov/foia/foia_requester.cfm?CFID=231001&CFTOKEN=98756504,
Jet Propulsion Laboratory,National Aeronautics and Space Administration,,FOIA Requester Service Center,,4800 Oak Grove,Pasadena,CA,91109-8001,(818) 393-6779,,,,,
Jet Propulsion Laboratory,National Aeronautics and Space Administration,Dennis Mahon,FOIA Public Liaison,,,,,,(818) 393-6779,,jpl-foia@nasa.gov,,,
Johnson Space Center,National Aeronautics and Space Administration,Jessica Cordero,JSC FOIA Officer,,Mail Code: AP2,Houston,TX,77058,(281) 483-8252,(281) 483-4876,jsc-foia@mail.nasa.gov,http://www.nasa.gov/centers/johnson/news/foia.html,,
Johnson Space Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,,Mail Code: AP2,Houston,TX,77058,(281) 483-8252,,,,,
Johnson Space Center,National Aeronautics and Space Administration,Jessica Cordero,FOIA Public Liaison,,,,,,(281) 483-8252,,stella.luna-1@nasa.gov,,,
Kennedy Space Center,National Aeronautics and Space Administration,Penny Myers,KSC FOIA Officer,,XA-A1,Kennedy Space Center,FL,32889,(321) 867-9280,(321) 867-8007,foia@ksc.nasa.gov,http://www.nasa.gov/centers/kennedy/about/foia/index.html,http://www-foiacf.ksc.nasa.gov/requester.cfm,
Kennedy Space Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,,XA-A1,Kennedy Space Center,FL,32889,(321) 867-9280,,,,,
Kennedy Space Center,National Aeronautics and Space Administration,Penny Myers,FOIA Public Liaison,,,,,,(321) 867-9280,,foia@ksc.nasa.gov,,,
Langley Research Center,National Aeronautics and Space Administration,Carissa Wheeler,LaRC FOIA Officer,Mail Stop 218,17 West Taylor Street,Hampton,VA,23681-2199,(757) 864-4274,(757) 864-6333,LARC-DL-foia@mail.nasa.gov,http://foia.larc.nasa.gov/,,
Langley Research Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,Mail Stop 218,17 West Taylor Street,Hampton,VA,23681-2199,(757) 864-4274,,,,,
Langley Research Center,National Aeronautics and Space Administration,Carissa Wheeler,FOIA Public Liaison,,,,,,(757) 864-4274,,LARC-DL-foia@mail.nasa.gov,,,
Marshall Space Flight Center,National Aeronautics and Space Administration,Judi Hollingsworth,MSFC FOIA Officer,Mail Stop CD50,Marshall Space Flight Center,Huntsville,AL,35812,(256) 544-1837,(256) 544-007,FOIA@msfc.nasa.gov,http://foia.msfc.nasa.gov/,http://foia.msfc.nasa.gov/form.html,
Marshall Space Flight Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,Mail Stop CD50,Marshall Space Flight Center,Huntsville,AL,35812,(256) 544-1837,,,,,
Marshall Space Flight Center,National Aeronautics and Space Administration,Judi Hollingsworth,FOIA Public Liaison,,,,,,(256) 544-1837,,FOIA@msfc.nasa.gov,,,
Office of the Inspector General,National Aeronautics and Space Administration,Frank LaRocca,OIG FOIA Officer,Room 8V69,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-2582,(202) 358-2767,foiaoig@hq.nasa.gov,http://oig.nasa.gov/FOIA_requests.html,http://oig.nasa.gov/FOIA_request_electronic.html,
Office of the Inspector General,National Aeronautics and Space Administration,,FOIA Requester Service Center,,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-2582,,,,,
Office of the Inspector General,National Aeronautics and Space Administration,Frank LaRocca,FOIA Public Liaison,,,,,,(202) 358-2582,,,,,
NASA Shared Service Center (NSSC),National Aeronautics and Space Administration,Jamie Mettler,NSSC FOIA Officer,Building 1111,,Stennis Space Center,MS,39529,(228) 813-6490,(228) 779-6772,nssc@nasa.gov,http://www.nssc.nasa.gov/foia/,,
NASA Shared Service Center (NSSC),National Aeronautics and Space Administration,Jamie Mettler,NSSC FOIA Officer,Building 1111,,Stennis Space Center,MS,39529,(228) 813-6490,(228) 779-6772,nssc@nasa.gov,http://www.nssc.nasa.gov/foia/,,
NASA Shared Service Center (NSSC),National Aeronautics and Space Administration,,FOIA Requester Service Center,Building 5100,,Stennis Space Center,MS,39529,(228) 813-6174,,,,,
NASA Shared Service Center (NSSC),National Aeronautics and Space Administration,Jamie Mettler,FOIA Public Liaison,,,,,,(228) 813-6174,,nssc@nasa.gov,,,
Stennis Space Center,National Aeronautics and Space Administration,Sally Bilbo,SSC FOIA Officer,,,Stennis Space Center,MS,39529,(228) 688-3182,(228) 668-7499,foia@ssc.nasa.gov,http://www.nasa.gov/centers/stennis/about/foia/index.html,,
Stennis Space Center,National Aeronautics and Space Administration,,FOIA Requester Service Center,,,Stennis Space Center,MS,39529,(228) 688-3182,,,,,
Stennis Space Center,National Aeronautics and Space Administration,Sally Bilbo,FOIA Public Liaison,,,,,,(228) 688-3182,,,,,
Principal Agency FOIA Officer,National Aeronautics and Space Administration,Miriam Brown-Lam,Agency ,Room 5P 32,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-0718,(202) 358-4332,foia@hq.nasa.gov,http://www.hq.nasa.gov/office/pao/FOIA/agency/,http://www.hq.nasa.gov/office/pao/FOIA/request.html,
Principal Agency FOIA Officer,National Aeronautics and Space Administration,,FOIA Requester Service Center,Room 5P 32,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-0718,(202) 358-4332,foia@hq.nasa.gov,http://www.hq.nasa.gov/office/pao/FOIA/agency/,http://www.hq.nasa.gov/office/pao/FOIA/request.html,
Principal Agency FOIA Officer,National Aeronautics and Space Administration,,Public Liaison,,"300 E Street, SW",S.W. Washington,DC,20546,(202) 358-3642,,,,,
Main Office,National Archives and Records Administration,Joseph Scanlon,"FOIA Officer, Office of the General Counsel",Room 3110,8601 Adelphi Road,College Park,MD,20740,(301) 837-3642,(301) 837-0293,mailto:joseph.scanlon@nara.gov,http://www.archives.gov/foia/index.html,,This agency has additional FOIA contact information that can be found by visiting its website.
Main Office,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(301) 837-3642,,mailto:foia@nara.gov,,,
Main Office,National Archives and Records Administration,Gary Stern,FOIA Public Liaison,,,,,,(301) 837-2024,,mailto:garym.stern@nara.gov,,,
Office of the Inspector General,National Archives and Records Administration,,FOIA Contact,Room 1300,8601 Adelphi Road,College Park,MD,20740,(301) 837-3000,(301) 837-3197,,http://www.archives.gov/foia/index.html,,
Office of the Inspector General,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(301) 837-3000,,,,,
Office of the Inspector General,National Archives and Records Administration,John Simms,FOIA Public Liaison,,,,,,(301) 837-3197,,mailto:john.simms@nara.gov,,,
"Accessioned Executive Branch Agency Records - Washington, DC Area",National Archives and Records Administration,Martha W. Murphy,Special Access and FOIA Staff (RD-F),Room 5500,8601 Adelphi Road,College Park,MD,20740,(301) 837-3190,(301) 837-1864,mailto:specialaccess_foia@nara.gov,http://www.archives.gov/foia/index.html,,
"Accessioned Executive Branch Agency Records - Washington, DC Area",National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(301) 837-3190,,,,,
"Accessioned Executive Branch Agency Records - Washington, DC Area",National Archives and Records Administration,Ann Cummings,FOIA Public Liaison,,,,,,(301) 837-1931,,mailto:ann.cummings@nara.gov,,,
National Archives at Atlanta,National Archives and Records Administration,Rob Richards,Director,,57800 Jonesboro Road,Morrow,GA,30260,(770) 968-2100,(770) 968-2547,mailto:atlanta.archives@nara.gov,http://www.archives.gov/atlanta/,,
National Archives at Atlanta,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(770) 968-2100,,,,,
National Archives at Atlanta,National Archives and Records Administration,Michael Moore,FOIA Public Liaison,,,,,,(770) 968-2485,,mailto:michael.moore@nara.gov,,,
National Archives at Boston,National Archives and Records Administration,Priscilla Foley,Director,Frederick C. Murphy Federal Center,380 Trapelo Road,Waltham,MA,02452-6399,(781) 663-0130,(781) 663-0154,mailto:boston.archives@nara.gov,http://www.archives.gov/boston/,,
National Archives at Boston,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(781) 663-0130,,,,,
National Archives at Boston,National Archives and Records Administration,Micheal Moore,FOIA Public Liaison,,,,,,(781) 663-0121,,mailto:michael.moore@nara.gov,,,
National Archives at Chicago,National Archives and Records Administration,Douglas Bicknese,Director,,7358 South Pulaski Road,Chicago,IL,60629-5898,(773) 948-9001,(773) 948-9050,mailto:chicago.archives@nara.gov,http://www.archives.gov/chicago/,,
National Archives at Chicago,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(773) 581-7816,,,,,
National Archives at Chicago,National Archives and Records Administration,Bryan McGraw,FOIA Public Liaison,,,,,,(773) 948-0009,,mailto:bryan.mcgraw@nara.gov,,,
National Archives at Denver,National Archives and Records Administration,Eileen Bolger,Director,,17101 Huron St.,Broomfield,CO,80223,(303) 407-5740,(303) 407-5709,mailto:denver.archives@nara.gov,http://www.archives.gov/denver/,,
National Archives at Denver,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(303) 407-5740,,,,,
National Archives at Denver,National Archives and Records Administration,Bryan McGraw,FOIA Public Liaison,,,,,,(303) 604-4740,,mailto:bryan.mcgraw@nara.gov,,,
National Archives at Fort Worth,National Archives and Records Administration,Meg Hacker,Director,,1400 John Burgess Drive,Fort Worth,TX,76140,(817) 831-5620,(817) 551-2034,mailto:ftworth.archives@nara.gov,http://www.archives.gov/fort-worth/,,
National Archives at Fort Worth,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(817) 334-5525,,,,,
National Archives at Fort Worth,National Archives and Records Administration,Bryan McGraw,FOIA Public Liaison,,,,,,(917) 831-5643,,mailto:bryan.mcgraw@nara.gov,,,
National Archives at Kansas City,National Archives and Records Administration,Lori Cox-Paul,Director,,400 West Pershing Road,Kansas City,MO,64108,(816) 268-8000,(816) 268-8038,mailto:kansascity.archives@nara.gov,http://www.archives.gov/kansas-city/,,
National Archives at Kansas City,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(816) 268-8000,,,,,
National Archives at Kansas City,National Archives and Records Administration,Bryan McGraw,FOIA Public Liaison,,,,,,(816) 268-8017,,mailto:bryan.mcgraw@nara.gov,,,
National Archives at New York City,National Archives and Records Administration,Chris Gushman,Director,3rd Floor,1 Bowling Green,New York,NY,10004,(212) 401-1620,(212) 401-1638,mailto:newyork.archives@nara.gov,http://www.archives.gov/nyc/,,
National Archives at New York City,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(212) 401-1620,,,,,
National Archives at New York City,National Archives and Records Administration,Michael Moore,FOIA Public Liaison,,,,,,(212) 401-1625,,mailto:michael.moore@nara.gov,,,
National Archives at Philadelphia,National Archives and Records Administration,Leslie Simon,Director,,14700 Townsend Road,Philadelphia,PA,19154-1096,(215) 305-2044,(215) 305-2038,mailto:philadelphia.archives@nara.gov,http://www.archives.gov/philadelphia/,,
National Archives at Philadelphia,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(215) 305-2044,,,,,
National Archives at Philadelphia,National Archives and Records Administration,Micheal Moore,FOIA Public Liaison,,,,,,(215) 669-9303,,mailto:michael.moore@nara.gov,,,
National Archives at Riverside,National Archives and Records Administration,Gwen Granados,Director,,23123 Cajalco Road,Perris,CA,92570,(951) 956-2000,(951) 956-2049,mailto:riverside.archives@nara.gov,http://www.archives.gov/riverside/,,
National Archives at Riverside,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(951) 956-2000,,,,,
National Archives at Riverside,National Archives and Records Administration,Michael Moore,FOIA Public Liaison,,,,,,(951) 956-2040,,mailto:michael.moore@nara.gov,,,
National Archives at San Francisco,National Archives and Records Administration,Michelle Bradley,Director,Leo J. Ryan Memorial Federal Bldg,100 Commodore Drive,San Bruno,CA,94066-2350,(650) 238-3501,(650) 238-3510,mailto:sanbruno.archives@nara.gov,http://www.archives.gov/san-francisco/,,
National Archives at San Francisco,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(650) 238-3501,,,,,
National Archives at San Francisco,National Archives and Records Administration,Michael Moore,FOIA Public Liaison,,,,,,(650) 238-3478,,mailto:michael.moore@nara.gov,,,
National Archives at Seattle,National Archives and Records Administration,Sue Karren,Director,,"6125 Sand Point Way, NE",Seattle,WA,98115-7999,(206) 336-5115,(206) 336-5112,mailto:seattle.archives@nara.gov,http://www.archives.gov/seattle/,,
National Archives at Seattle,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(206) 336-5115,,,,,
National Archives at Seattle,National Archives and Records Administration,Michael Moore,FOIA Public Liaison,,,,,,(206) 336-5141,,mailto:michael.moore@nara.gov,,,
National Archives at St. Louis,National Archives and Records Administration,Bryan McGraw ,Director,,,,,,(314) 801-9132,,mailto:stlarr.archives@nara.gov,,,
National Archives at St. Louis,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,,,,,,
National Archives at St. Louis,National Archives and Records Administration,William Seibert,FOIA Public Liaison,,,,,,(314) 801-0909,,mailto:bryan.mcgraw@nara.gov,,,
Ronald Reagan Presidential Library,National Archives and Records Administration,Duke Blackwood,Director,,,,,,(800) 410-8354,,,,,
Ronald Reagan Presidential Library,National Archives and Records Administration,Ira Permstein,Supervisory Archivist,,40 Presidential Drive,Simi Valley,CA,93065-0699,(800) 410-8354,(805) 577-4074,mailto:reagan.library@nara.gov,http://www.reaganlibrary.gov,,
Ronald Reagan Presidential Library,National Archives and Records Administration,John Laster,FOIA Public Liaison,,,,,,(202) 357-5200,,mailto:john.laster@nara.gov,,,
George Bush Presidential Library,National Archives and Records Administration,Warren L Finch,Director,,,,,,(979) 691-4000,,,,,
George Bush Presidential Library,National Archives and Records Administration,Deborah Wheeler,Supervisory Archivist,,1000 George Bush Drive,West College Station,TX,77845,(979) 691-4000,(979) 691-4050,mailto:bush.library@nara.gov,http://www.bushlibrary.tamu.edu,,
George Bush Presidential Library,National Archives and Records Administration,John Laster,FOIA Public Liaison,,,,,,(202) 357-5200,,mailto:john.laster@nara.gov,,,
William J. Clinton Presidential Library,National Archives and Records Administration,Terri T Garner,Director,,,,,,(501) 374-4242,,,,,
William J. Clinton Presidential Library,National Archives and Records Administration,Dana Simmons,Supervisory Archivist,,1200 President Clinton Avenue,Little Rock,AR,72201,(501) 374-4242,(501) 244-2883,mailto:clinton.library@nara.gov,http://clinton.library.gov,,
William J. Clinton Presidential Library,National Archives and Records Administration,John Laster,FOIA Public Liaison,,,,,,(202) 357-5200,,mailto:john.laster@nara.gov,,,
George W. Bush Presidential Library,National Archives and Records Administration,Alan C Lowe,Director,,,,,,(214) 346-1650,,,,,
George W. Bush Presidential Library,National Archives and Records Administration,Brooke Clement,Supervisory Archivist,,2943 SMU Blvd,Dallas,TX,75205-2300,(214) 346-1650,(214) 346-1699,mailto:gwbush.library@nara.gov,http://georgewbushlibrary.smu.edu,,
George W. Bush Presidential Library,National Archives and Records Administration,John Laster,FOIA Public Liaison,,,,,,(202) 357-5200,,mailto:john.laster@nara.gov,,,
Presidential Materials Division,National Archives and Records Administration,Stephannie Oriabure,Archivist,Room G-7,"700 Pennsylvania Avenue, NW",Washington,DC,20408-0001,(202) 357-5200,(202) 357-5941,mailto:presidential.materials@nara.gov,http://www.archives.gov/research/vice-presidential-records,,
Presidential Materials Division,National Archives and Records Administration,John Laster,FOIA Public Liaison,,,,,,(202) 357-5200,,mailto:john.laster@nara.gov,,,
I don't know which office,National Archives and Records Administration,Joseph Scanlon,"FOIA Officer, Office of the General Counsel",Room 3110,8601 Adelphi Road,College Park,MD,20740,(301) 837-3642,(301) 837-0293,mailto:foia@nara.gov,http://www.archives.gov/foia/index.html,,
I don't know which office,National Archives and Records Administration,,FOIA Requester Service Center,,,,,,(301) 837-3642,,mailto:foia@nara.gov,,,
I don't know which office,National Archives and Records Administration,Gary Stern,FOIA Public Liaison,,,,,,(301) 837-2024,,mailto:garym.stern@nara.gov,,,
National Capital Planning Commission,National Capital Planning Commission,Anne R. Schuyler,Chief FOIA Officer,"North Lobby, Suite 500","401 9th Street, NW",Washington,DC,20004,(202)-482-7223,(202) 482-7272,anne.schuyler@ncpc.gov,http://www.ncpc.gov/ncpc/FooterPages/PrivacyFOIADisclosure.html,,
National Capital Planning Commission,National Capital Planning Commission,,FOIA Requester Service Center,,,,,,,,info@ncpc.gov,,,
National Capital Planning Commission,National Capital Planning Commission,Deborah B. Young,FOIA Public Liaison,,,,,,(202)-482-7228,,mailto:Deborah.Young@ncpc.gov,,,
Main Office,National Credit Union Administration,Regina Metz,FOIA Officer / Senior Staff Attorney,,1775 Duke Street,Alexandria,VA,22314,(703) 518-6540,(703) 518-6569,mailto:FOIA@ncua.gov,http://www.ncua.gov/Resources/FOIA/Pages/default.aspx,,
Main Office,National Credit Union Administration,Charles Smith,FOIA Requester Service Center / Program Specialist ,,,,,,(703) 518-6540,,,,,
Main Office,National Credit Union Administration,Linda Dent,FOIA Public Liaison / Associate General Counsel,,,,,,(703) 518-6540,(703) 518-6569,,,,
Office of the Inspector General,National Credit Union Administration,Sharon Separ,Counsel to the Inspector General / Assistant IG for Investigations,,1775 Duke Street,Alexandria,VA,22314,(703) 518-6350,703-518-6349,mailto:oigmail@ncua.gov ,http://www.ncua.gov/Resources/FOIA/Pages/default.aspx,,
Office of the Inspector General,National Credit Union Administration,,FOIA Requester Service Center ,,,,,,(703) 518-6350,703-518-6349,,,,
Office of the Inspector General,National Credit Union Administration,,FOIA Public Liaison ,,,,,,(703) 518-6350,703-518-6349,,,,
National Endowment for the Arts,National Endowment for the Arts,Desiree Flippins,FOIA Officer,2049,"400 7th Street, SW ",Washington,DC ,20506,(202) 682-5418,(202) 682-5572,mailto:foia@arts.gov,http://www.arts.gov/about/FOIA/index.html,,
National Endowment for the Arts,National Endowment for the Arts,,FOIA Requester Service Center,,,,,,(202) 682-5418,,,,,
National Endowment for the Arts,National Endowment for the Arts,,FOIA Public Liaison,,,,,,(202) 682-5418,,,,,
National Endowment for the Humanities,National Endowment for the Humanities,Katherine Griffin,Principal FOIA Contact, Room 4060,400 7th Street SW,Washington,DC ,20506,(202) 606-8322,(202) 606-8600,gencounsel@neh.gov,http://www.neh.gov/about/foia,http://www.neh.gov/about/foia/submit-request-online,
National Endowment for the Humanities,National Endowment for the Humanities,,FOIA Requester Service Center,,,,,,(202) 606-8322,(202) 606-8600,mailto:gencounsel@neh.gov,,,
National Endowment for the Humanities,National Endowment for the Humanities,Lisette Voyatzis,FOIA Public Liaison,,,,,,(202) 606-8322,,mailto:evoyatzis@neh.gov,,,
National Indian Gaming Commission,National Indian Gaming Commission,AnDrea Choate',FOIA/PA and  Records Management Assistant,,"National Indian Gaming Commission C/O Department of the Interior, 1849 C Street, N.W., Mail Stop #1621",Washington,DC ,20240,(202) 632-7003,(202) 632-7066,,http://www.nigc.gov/Reading_Room/Freedom_of_Information_Act.aspx,,
National Indian Gaming Commission,National Indian Gaming Commission,,FOIA Requester Service Center,,,,,,(202) 632-7003,,,,,
National Indian Gaming Commission,National Indian Gaming Commission,AnDrea Choate',FOIA Public Liaison,,,,,,(202) 632-7003,,Andrea_Choate@nigc.gov,,,
National Labor Relations Board,National Labor Relations Board,Deirdre MacNeil,FOIA Officer,4006,"1015 Half Street, S.E. ",Washington,DC,20570,(202) 273-3842,(202) 273-3642,,http://www.nlrb.gov/FOIA/,http://www.nlrb.gov/e-foia-request-form,This agency has additional FOIA contact information that can be found by visiting its website.
National Labor Relations Board,National Labor Relations Board,,FOIA Requester Service Center,4006,"1015 Half Street, S.E. ",Washington,DC,20570,(202) 273-1991,,,,,
National Labor Relations Board,National Labor Relations Board,Diane L. Bridge,FOIA Public Liaison,4006,"1015 Half Street, S.E. ",Washington,DC,20570,(202) 273-3851,,,,,
National Mediation Board,National Mediation Board,Mary L. Johnson,General Counsel,Suite 250E,"1301 K Street, NW",Washington,DC ,20005,(202) 692-5040,(202) 692-5085,,http://www.nmb.gov/publicinfo/foia.html,,
National Mediation Board,National Mediation Board,Tonya Kirksey,FOIA Requester Service Center,,,,,,(202) 692-5040,,,,,
National Mediation Board,National Mediation Board,Angela Heverling,FOIA Public Liaison,,,,,,(202) 692-5040,,heverling@nmb.gov,,,
National Science Foundation,National Science Foundation,Sandra Evans,FOIA Officer,Suite 1265,4201 Wilson Boulevard,Arlington,VA,22230,(703) 292-8060,(703)292-9242,mailto:foia@nsf.gov,http://www.nsf.gov/policies/foia.jsp,,
National Science Foundation,National Science Foundation,Julie Beglin,FOIA Requester Service Center,Suite 1265,4201 Wilson Boulevard,Arlington,VA,22230,(703) 292-8060,(703)292-9242,foia@nsf.gov,,,
National Science Foundation,National Science Foundation,Erin Dawson,FOIA Public Liaison,Suite 1265,4201 Wilson Boulevard,Arlington,VA,22230,(703) 292-8060,(703)292-9242,mailto:edawson@nsf.gov,,,
National Transportation Safety Board,National Transportation Safety Board,Melba D. Moye,"Chief, Records Management Division",CIO-40,"490 L'Enfant Plaza, SW",Washington,DC ,20594,(202) 314-6540,(240) 752-6257,mailto:foia@ntsb.gov,http://www.ntsb.gov/about/foia/Pages/default.aspx,https://foiarequest.ntsb.gov/palMain.aspx,
National Transportation Safety Board,National Transportation Safety Board,,FOIA Requester Service Center,,,,,,(202) 314-6540,,,,,
National Transportation Safety Board,National Transportation Safety Board,Melba D. Moye,FOIA Public Liaison,,,,,,(202) 314-6540,,,,,
Nuclear Regulatory Commission,Nuclear Regulatory Commission,Roger Andoh,FOIA Officer,,Mail Stop T5-F09,Washington,DC,20555-0001,(301) 415-7169,(301) 415-5130,mailto:FOIA.resource@nrc.gov,http://www.nrc.gov/reading-rm/foia/foia-privacy.html,,
Nuclear Regulatory Commission,Nuclear Regulatory Commission,,FOIA Requester Service Center,,,,,,(301) 415-7169,,,,,
Nuclear Regulatory Commission,Nuclear Regulatory Commission,Pat Hirsch,FOIA Public Liaison,Mail Stop T5-F509,11545 Rockville Pike,Rockville,MD,20852,(301) 415-0563,,mailto:Donna.Sealing@nrc.gov,,,
